Country,Year,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP),Trade Balance,Sectoral Output
 Afghanistan ,-1.76264,-0.171617,-0.20009,-0.266165,-0.253398,-0.177255,-0.194824,-0.154157,-0.16854,-0.178702,-0.18182,-0.183987,-0.0271773,-0.178963
 Afghanistan ,-1.69553,-0.170603,-0.200046,-0.266005,-0.252949,-0.177154,-0.19474,-0.154144,-0.168497,-0.178626,-0.181736,-0.183904,-0.0287506,-0.178876
 Afghanistan ,-1.62841,-0.172657,-0.200135,-0.26581,-0.252871,-0.177359,-0.19491,-0.15417,-0.168584,-0.178781,-0.181903,-0.184072,-0.0281575,-0.179053
 Afghanistan ,-1.56129,-0.171975,-0.200105,-0.265814,-0.253023,-0.177291,-0.194854,-0.154161,-0.168555,-0.178729,-0.181847,-0.184016,-0.0273668,-0.178994
 Afghanistan ,-1.49418,-0.167502,-0.199911,-0.265482,-0.252786,-0.176845,-0.194484,-0.154107,-0.168366,-0.178392,-0.181478,-0.183652,-0.0269128,-0.17861
 Afghanistan ,-1.42706,-0.164291,-0.199771,-0.265393,-0.25263,-0.176526,-0.194218,-0.154067,-0.16823,-0.178149,-0.181213,-0.18339,-0.0272863,-0.178334
 Afghanistan ,-1.35995,-0.161876,-0.199666,-0.265228,-0.252427,-0.176285,-0.194018,-0.154038,-0.168127,-0.177968,-0.181014,-0.183193,-0.0275206,-0.178127
 Afghanistan ,-1.29283,-0.157493,-0.199475,-0.26515,-0.252125,-0.175849,-0.193657,-0.153984,-0.167943,-0.177639,-0.180652,-0.182836,-0.0287286,-0.177751
 Afghanistan ,-1.22572,-0.153055,-0.199282,-0.265083,-0.251968,-0.175406,-0.193289,-0.15393,-0.167754,-0.177294,-0.180285,-0.182472,-0.0292192,-0.177369
 Afghanistan ,-1.1586,-0.147954,-0.199058,-0.264685,-0.251586,-0.174898,-0.192866,-0.153867,-0.167535,-0.176926,-0.179868,-0.182058,-0.0292055,-0.176932
 Afghanistan ,-1.09149,-0.14773,-0.199052,-0.264699,-0.251564,-0.17488,-0.192852,-0.153865,-0.167535,-0.176908,-0.179853,-0.182042,-0.0293942,-0.176916
 Afghanistan ,-1.02437,-0.150576,-0.199174,-0.264873,-0.251765,-0.175156,-0.193081,-0.153899,-0.167646,-0.177076,-0.180078,-0.182264,-0.0292205,-0.177151
 Afghanistan ,-0.957254,-0.150383,-0.199159,-0.264845,-0.251749,-0.175138,-0.193066,-0.153896,-0.16763,-0.177157,-0.180132,-0.182261,-0.029162,-0.177145
 Afghanistan ,-0.890138,-0.150632,-0.199188,-0.264868,-0.251767,-0.175184,-0.193104,-0.153903,-0.167682,-0.177122,-0.180171,-0.182284,-0.02918,-0.177172
 Afghanistan ,-0.823022,-0.151628,-0.199216,-0.264897,-0.251802,-0.175237,-0.193149,-0.15391,-0.167665,-0.177023,-0.18021,-0.182324,-0.0291432,-0.177214
 Afghanistan ,-0.755907,-0.151194,-0.199174,-0.264917,-0.25183,-0.175222,-0.193136,-0.153905,-0.167642,-0.177493,-0.180249,-0.182363,-0.0291011,-0.177246
 Afghanistan ,-0.688791,-0.151631,-0.199283,-0.264926,-0.251838,-0.175345,-0.193238,-0.153924,-0.167846,-0.177039,-0.180258,-0.182373,-0.0291006,-0.177273
 Afghanistan ,-0.621675,-0.157678,-0.199445,-0.265148,-0.252107,-0.17573,-0.193557,-0.153971,-0.167777,-0.177047,-0.180597,-0.182715,-0.0288145,-0.177629
 Afghanistan ,-0.55456,-0.154191,-0.199691,-0.265325,-0.252321,-0.176588,-0.19427,-0.154087,-0.168039,-0.178253,-0.180869,-0.182989,-0.0285857,-0.177997
 Afghanistan ,-0.487444,-0.14056,-0.199507,-0.265011,-0.251941,-0.176519,-0.194213,-0.154075,-0.167872,-0.179076,-0.180388,-0.182504,-0.0289899,-0.177566
 Afghanistan ,-0.420328,-0.15576,-0.19892,-0.264769,-0.251649,-0.175437,-0.193315,-0.153953,-0.167221,-0.174452,-0.180019,-0.18213,-0.0292995,-0.177077
 Afghanistan ,-0.353213,-0.154046,-0.198867,-0.264527,-0.250907,-0.175456,-0.19333,-0.153945,-0.167119,-0.17617,-0.180176,-0.18229,-0.032016,-0.177218
 Afghanistan ,-0.286097,-0.146894,-0.19845,-0.264029,-0.24969,-0.17668,-0.194346,-0.153902,-0.166797,-0.176907,-0.180134,-0.182247,-0.0359439,-0.177367
 Afghanistan ,-0.218981,-0.149959,-0.198806,-0.264211,-0.24963,-0.177634,-0.195139,-0.154017,-0.168109,-0.177735,-0.180738,-0.182857,-0.0372078,-0.178041
 Afghanistan ,-0.151866,-0.162192,-0.19978,-0.265083,-0.250852,-0.178591,-0.195934,-0.154218,-0.168944,-0.179497,-0.181873,-0.184004,-0.0351907,-0.179181
 Afghanistan ,-0.0847501,-0.147841,-0.198287,-0.263502,-0.247771,-0.178511,-0.195867,-0.153998,-0.167584,-0.178473,-0.180825,-0.182946,-0.0434763,-0.178251
 Afghanistan ,-0.0176345,-0.150817,-0.198218,-0.263263,-0.247096,-0.178381,-0.195759,-0.154006,-0.167461,-0.178737,-0.180913,-0.183034,-0.0458534,-0.178339
 Afghanistan ,0.0494812,-0.147931,-0.197853,-0.26255,-0.245521,-0.178025,-0.195464,-0.15397,-0.167176,-0.178824,-0.180657,-0.182775,-0.0505806,-0.178084
 Afghanistan ,0.116597,-0.149,-0.197733,-0.262157,-0.24454,-0.177673,-0.195172,-0.153972,-0.16706,-0.179043,-0.180647,-0.182765,-0.0537888,-0.178028
 Afghanistan ,0.183713,-0.161806,-0.198504,-0.263124,-0.246305,-0.177732,-0.19522,-0.154094,-0.167591,-0.179557,-0.181428,-0.183555,-0.0493628,-0.178692
 Afghanistan ,0.250828,-0.145718,-0.197002,-0.260562,-0.240877,-0.176255,-0.19399,-0.153919,-0.166449,-0.179288,-0.180236,-0.182351,-0.0651145,-0.177401
 Afghanistan ,0.317944,-0.144956,-0.196498,-0.260128,-0.239439,-0.175484,-0.193344,-0.153921,-0.165829,-0.179158,-0.179977,-0.182091,-0.0705559,-0.17705
 Afghanistan ,0.385059,-0.146845,-0.197128,-0.259899,-0.240045,-0.175224,-0.193152,-0.153341,-0.164985,-0.177654,-0.179438,-0.181539,-0.0661303,-0.176569
 Afghanistan ,0.452175,-0.144059,-0.196688,-0.255967,-0.233424,-0.17539,-0.193275,-0.153023,-0.163516,-0.177027,-0.178847,-0.180943,-0.0811621,-0.176168
 Afghanistan ,0.519291,-0.145612,-0.194327,-0.255524,-0.231607,-0.175072,-0.192968,-0.152497,-0.162387,-0.176606,-0.178169,-0.180273,-0.0885865,-0.175646
 Afghanistan ,0.586406,-0.138984,-0.192142,-0.255385,-0.230799,-0.174919,-0.192783,-0.15187,-0.162798,-0.176147,-0.177329,-0.179428,-0.092188,-0.174967
 Afghanistan ,0.653522,-0.132609,-0.190226,-0.253772,-0.22968,-0.174815,-0.192617,-0.151383,-0.162102,-0.175625,-0.176407,-0.17853,-0.0898122,-0.174282
 Afghanistan ,0.720638,-0.110901,-0.190095,-0.253384,-0.228309,-0.173388,-0.191303,-0.150368,-0.159448,-0.173951,-0.174101,-0.176186,-0.0951361,-0.172191
 Afghanistan ,0.787753,-0.114759,-0.190472,-0.252063,-0.231326,-0.173164,-0.191045,-0.149373,-0.157346,-0.173097,-0.173257,-0.175348,-0.0721449,-0.171563
 Afghanistan ,0.854869,-0.0989471,-0.190121,-0.251318,-0.232226,-0.174168,-0.191737,-0.148315,-0.155173,-0.172712,-0.171967,-0.173969,-0.0634641,-0.170593
 Afghanistan ,0.921985,-0.0805428,-0.188507,-0.251752,-0.226195,-0.173847,-0.191149,-0.145405,-0.15139,-0.170628,-0.168786,-0.170816,-0.0979833,-0.167908
 Afghanistan ,0.9891,-0.0648857,-0.187999,-0.255126,-0.222608,-0.173038,-0.189706,-0.143028,-0.149347,-0.168635,-0.166163,-0.168123,-0.13467,-0.165515
 Afghanistan ,1.05622,-0.0577213,-0.187546,-0.255359,-0.215652,-0.173249,-0.189714,-0.14186,-0.146259,-0.166163,-0.164318,-0.166309,-0.173093,-0.164223
 Afghanistan ,1.12333,-0.0575839,-0.18764,-0.253071,-0.215538,-0.174083,-0.190381,-0.141284,-0.144865,-0.165729,-0.163791,-0.165816,-0.161837,-0.164062
 Afghanistan ,1.19045,-0.060009,-0.187343,-0.25126,-0.219273,-0.174543,-0.190653,-0.139997,-0.146816,-0.166056,-0.163934,-0.165888,-0.132469,-0.163905
 Afghanistan ,1.25756,-0.0747457,-0.187404,-0.249745,-0.220066,-0.175085,-0.190873,-0.140025,-0.148782,-0.166055,-0.164604,-0.166739,-0.120364,-0.164725
 Afghanistan ,1.32468,-0.0782053,-0.189196,-0.249942,-0.222103,-0.175102,-0.190471,-0.139807,-0.15222,-0.16611,-0.165291,-0.167443,-0.11049,-0.165046
 Afghanistan ,1.39179,-0.0694262,-0.189096,-0.241717,-0.22106,-0.175532,-0.190432,-0.139546,-0.152321,-0.164173,-0.16434,-0.166553,-0.0734168,-0.164448
 Afghanistan ,1.45891,-0.092539,-0.187715,-0.249529,-0.213463,-0.17282,-0.188077,-0.139478,-0.152027,-0.165087,-0.164877,-0.167038,-0.15457,-0.164417
 Afghanistan ,1.52603,-0.0724012,-0.189308,-0.253926,-0.208748,-0.171678,-0.186793,-0.14015,-0.153088,-0.165414,-0.164279,-0.166545,-0.202603,-0.163772
 Afghanistan ,1.59314,-0.0592595,-0.188591,-0.258671,-0.215778,-0.170432,-0.186163,-0.139755,-0.148446,-0.166047,-0.163145,-0.165286,-0.189597,-0.162501
 Afghanistan ,1.66026,-0.0691833,-0.195009,-0.256798,-0.221777,-0.17155,-0.187004,-0.146335,-0.15344,-0.169103,-0.168394,-0.170572,-0.147787,-0.167045
 Albania ,-1.76264,-0.171744,-0.196227,-0.264204,-0.251684,-0.177113,-0.192846,-0.15403,-0.168956,-0.178803,-0.181316,-0.183445,-0.026182,-0.178401
 Albania ,-1.69553,-0.171125,-0.196089,-0.26412,-0.251604,-0.177047,-0.192737,-0.154019,-0.168942,-0.178761,-0.181251,-0.183379,-0.0261761,-0.178331
 Albania ,-1.62841,-0.170491,-0.195947,-0.264032,-0.251521,-0.176979,-0.192626,-0.154008,-0.168927,-0.178715,-0.181183,-0.183311,-0.0261647,-0.17826
 Albania ,-1.56129,-0.169851,-0.195803,-0.263948,-0.251436,-0.176911,-0.192513,-0.153995,-0.168911,-0.178666,-0.181114,-0.18324,-0.0261854,-0.178187
 Albania ,-1.49418,-0.169159,-0.195648,-0.263854,-0.25135,-0.176837,-0.192392,-0.153985,-0.168898,-0.178625,-0.181043,-0.183169,-0.0261568,-0.178111
 Albania ,-1.42706,-0.168476,-0.195499,-0.263753,-0.251258,-0.176766,-0.192275,-0.153971,-0.16888,-0.178571,-0.180969,-0.183095,-0.0261272,-0.178034
 Albania ,-1.35995,-0.167823,-0.195345,-0.263682,-0.251165,-0.176692,-0.192154,-0.153955,-0.16886,-0.17851,-0.180893,-0.183018,-0.0262553,-0.177954
 Albania ,-1.29283,-0.166958,-0.195154,-0.263555,-0.251078,-0.176602,-0.192005,-0.153951,-0.168855,-0.178494,-0.180818,-0.182942,-0.0260617,-0.17787
 Albania ,-1.22572,-0.166307,-0.195025,-0.263432,-0.250964,-0.17654,-0.191904,-0.153927,-0.168824,-0.1784,-0.180736,-0.182859,-0.0260285,-0.177789
 Albania ,-1.1586,-0.170948,-0.196026,-0.264151,-0.251552,-0.177015,-0.192685,-0.154003,-0.168921,-0.178696,-0.181209,-0.183336,-0.0266129,-0.178291
 Albania ,-1.09149,-0.172472,-0.196397,-0.26428,-0.251855,-0.177196,-0.192982,-0.154077,-0.169016,-0.178987,-0.181441,-0.18357,-0.0256666,-0.178519
 Albania ,-1.02437,-0.172524,-0.196453,-0.2642,-0.251709,-0.177221,-0.193023,-0.154012,-0.168933,-0.178733,-0.181367,-0.183496,-0.0260267,-0.178469
 Albania ,-0.957254,-0.172378,-0.196244,-0.264585,-0.251684,-0.177113,-0.192846,-0.154002,-0.16892,-0.178693,-0.181302,-0.18343,-0.0281575,-0.178395
 Albania ,-0.890138,-0.170559,-0.196213,-0.264713,-0.251973,-0.17712,-0.192857,-0.15403,-0.168956,-0.178803,-0.181277,-0.183404,-0.0272764,-0.178361
 Albania ,-0.823022,-0.171504,-0.19623,-0.264846,-0.252191,-0.177108,-0.192837,-0.15403,-0.168956,-0.178803,-0.181304,-0.183434,-0.0267977,-0.17839
 Albania ,-0.755907,-0.170037,-0.196243,-0.264954,-0.252179,-0.177091,-0.192809,-0.154036,-0.168963,-0.178824,-0.181257,-0.183385,-0.0274204,-0.178336
 Albania ,-0.688791,-0.169728,-0.195809,-0.265048,-0.252456,-0.176995,-0.192652,-0.154029,-0.168954,-0.178799,-0.181186,-0.183311,-0.0264249,-0.178255
 Albania ,-0.621675,-0.17046,-0.195915,-0.265008,-0.252427,-0.176891,-0.192481,-0.154046,-0.168976,-0.178866,-0.181204,-0.18333,-0.0263783,-0.178256
 Albania ,-0.55456,-0.170878,-0.195738,-0.264807,-0.251962,-0.176769,-0.192279,-0.154011,-0.168932,-0.178729,-0.181122,-0.183247,-0.0278183,-0.178172
 Albania ,-0.487444,-0.165849,-0.193861,-0.264095,-0.251295,-0.176503,-0.191849,-0.153916,-0.168808,-0.178358,-0.180639,-0.182759,-0.0276958,-0.177694
 Albania ,-0.420328,-0.171021,-0.196894,-0.265287,-0.251804,-0.176917,-0.192521,-0.154165,-0.169129,-0.179329,-0.181441,-0.183566,-0.0311557,-0.17845
 Albania ,-0.353213,-0.175763,-0.197956,-0.266452,-0.252038,-0.17781,-0.193985,-0.154196,-0.169168,-0.179451,-0.182021,-0.184124,-0.0359437,-0.179104
 Albania ,-0.286097,-0.17207,-0.197665,-0.266115,-0.247043,-0.1786,-0.195298,-0.15418,-0.169143,-0.179392,-0.182134,-0.184206,-0.0609252,-0.179308
 Albania ,-0.218981,-0.169322,-0.196553,-0.265612,-0.24861,-0.178673,-0.195401,-0.154136,-0.169098,-0.17921,-0.181903,-0.184019,-0.0499311,-0.179148
 Albania ,-0.151866,-0.166789,-0.195772,-0.265891,-0.25042,-0.178673,-0.1954,-0.154095,-0.169038,-0.179056,-0.1817,-0.183835,-0.0416912,-0.178982
 Albania ,-0.0847501,-0.159642,-0.193876,-0.265405,-0.249904,-0.178497,-0.195171,-0.154001,-0.168888,-0.178724,-0.181147,-0.183315,-0.0419334,-0.178483
 Albania ,-0.0176345,-0.164302,-0.196459,-0.264822,-0.24806,-0.178501,-0.195054,-0.15332,-0.168209,-0.175836,-0.180306,-0.182496,-0.0487794,-0.178041
 Albania ,0.0494812,-0.175786,-0.197112,-0.265714,-0.249673,-0.178811,-0.195624,-0.153594,-0.168342,-0.177174,-0.181309,-0.183486,-0.04477,-0.178923
 Albania ,0.116597,-0.174951,-0.197359,-0.265294,-0.248789,-0.178702,-0.195617,-0.153423,-0.167894,-0.176753,-0.18095,-0.183151,-0.0473239,-0.178725
 Albania ,0.183713,-0.172482,-0.195481,-0.26377,-0.247807,-0.178555,-0.195395,-0.153125,-0.167291,-0.175421,-0.18028,-0.182474,-0.0446717,-0.178152
 Albania ,0.250828,-0.171987,-0.193099,-0.2631,-0.246103,-0.178529,-0.195276,-0.152987,-0.167315,-0.175626,-0.179983,-0.182203,-0.0503149,-0.177972
 Albania ,0.317944,-0.171069,-0.189966,-0.262321,-0.244652,-0.178469,-0.195178,-0.152726,-0.166432,-0.175538,-0.17952,-0.181757,-0.0540397,-0.177581
 Albania ,0.385059,-0.169399,-0.186817,-0.261894,-0.242994,-0.178375,-0.195197,-0.15252,-0.166181,-0.175397,-0.179106,-0.181322,-0.0606992,-0.177247
 Albania ,0.452175,-0.162882,-0.183403,-0.260482,-0.240248,-0.178072,-0.194434,-0.152004,-0.165567,-0.174551,-0.177853,-0.180097,-0.0680636,-0.176304
 Albania ,0.519291,-0.156643,-0.178474,-0.257993,-0.236648,-0.177663,-0.19355,-0.15126,-0.163756,-0.173125,-0.176208,-0.178456,-0.0744209,-0.175001
 Albania ,0.586406,-0.155566,-0.176252,-0.256515,-0.233122,-0.177335,-0.192894,-0.150745,-0.162742,-0.172343,-0.175335,-0.177567,-0.085623,-0.174296
 Albania ,0.653522,-0.15413,-0.173143,-0.254287,-0.230292,-0.176871,-0.19253,-0.150297,-0.161915,-0.171828,-0.174385,-0.17671,-0.0892073,-0.173649
 Albania ,0.720638,-0.14778,-0.166859,-0.249865,-0.22196,-0.176121,-0.191863,-0.149377,-0.159665,-0.170083,-0.172557,-0.174901,-0.110854,-0.172121
 Albania ,0.787753,-0.139419,-0.160153,-0.248474,-0.217249,-0.175668,-0.190911,-0.148229,-0.157909,-0.16811,-0.170575,-0.172662,-0.128845,-0.17041
 Albania ,0.854869,-0.14304,-0.16489,-0.249728,-0.221201,-0.175771,-0.191216,-0.148455,-0.158633,-0.169001,-0.171675,-0.173513,-0.114204,-0.171084
 Albania ,0.921985,-0.140094,-0.170102,-0.248029,-0.222378,-0.17563,-0.189826,-0.148528,-0.159836,-0.169441,-0.17172,-0.173632,-0.099099,-0.17111
 Albania ,0.9891,-0.134938,-0.16815,-0.245557,-0.217345,-0.175168,-0.189426,-0.147971,-0.158962,-0.168694,-0.170627,-0.172653,-0.113205,-0.170297
 Albania ,1.05622,-0.135869,-0.172884,-0.246726,-0.221997,-0.176104,-0.189883,-0.148059,-0.159603,-0.169164,-0.171297,-0.173233,-0.0943757,-0.170912
 Albania ,1.12333,-0.131217,-0.174666,-0.245986,-0.221229,-0.175652,-0.188881,-0.147564,-0.161174,-0.168691,-0.170524,-0.172769,-0.0946473,-0.170428
 Albania ,1.19045,-0.127632,-0.178176,-0.24577,-0.219879,-0.175315,-0.188532,-0.147006,-0.161102,-0.168114,-0.170169,-0.17231,-0.100755,-0.170024
 Albania ,1.25756,-0.137349,-0.180683,-0.249357,-0.226375,-0.175656,-0.189677,-0.147907,-0.161986,-0.170043,-0.172007,-0.17418,-0.0845983,-0.171436
 Albania ,1.32468,-0.134817,-0.179847,-0.247457,-0.22435,-0.175491,-0.189735,-0.147634,-0.161518,-0.169373,-0.171472,-0.173698,-0.0855777,-0.171059
 Albania ,1.39179,-0.131789,-0.177165,-0.243608,-0.220836,-0.174751,-0.189692,-0.146688,-0.160546,-0.168226,-0.170469,-0.172522,-0.0844199,-0.170091
 Albania ,1.45891,-0.123941,-0.173717,-0.239748,-0.216481,-0.17401,-0.187785,-0.145505,-0.159303,-0.166029,-0.16837,-0.170352,-0.0877096,-0.168319
 Albania ,1.52603,-0.122973,-0.174626,-0.239541,-0.216089,-0.173809,-0.187814,-0.145302,-0.159027,-0.165352,-0.168307,-0.170102,-0.0887331,-0.168107
 Albania ,1.59314,-0.120921,-0.173722,-0.247466,-0.223242,-0.174102,-0.188719,-0.145298,-0.159818,-0.165804,-0.16863,-0.170376,-0.0915564,-0.168325
 Albania ,1.66026,-0.11314,-0.166103,-0.235143,-0.21005,-0.172804,-0.18599,-0.143801,-0.157298,-0.162702,-0.165535,-0.167199,-0.0982364,-0.165787
 Algeria ,-1.76264,-0.176231,-0.193744,-0.260588,-0.246597,-0.175871,-0.18995,-0.150931,-0.166673,-0.173678,-0.178593,-0.18051,-0.034651,-0.175589
 Algeria ,-1.69553,-0.174821,-0.192352,-0.26147,-0.246668,-0.175747,-0.190765,-0.150454,-0.166447,-0.172785,-0.178178,-0.180298,-0.0388418,-0.17528
 Algeria ,-1.62841,-0.171427,-0.188569,-0.258761,-0.244865,-0.174719,-0.187044,-0.149576,-0.165866,-0.171429,-0.17635,-0.178457,-0.0344419,-0.173557
 Algeria ,-1.56129,-0.169453,-0.184685,-0.253706,-0.239169,-0.173159,-0.182264,-0.148699,-0.164607,-0.170091,-0.174315,-0.176371,-0.0386994,-0.17155
 Algeria ,-1.49418,-0.164987,-0.180162,-0.237902,-0.228465,-0.172958,-0.167089,-0.147736,-0.162916,-0.171295,-0.170352,-0.172278,-0.0140207,-0.167939
 Algeria ,-1.42706,-0.149835,-0.173927,-0.237187,-0.217331,-0.171883,-0.168627,-0.145246,-0.161694,-0.169605,-0.16813,-0.169946,-0.0698766,-0.165882
 Algeria ,-1.35995,-0.149186,-0.167821,-0.233728,-0.217917,-0.170164,-0.163053,-0.145106,-0.160995,-0.166881,-0.16606,-0.167717,-0.0488019,-0.163843
 Algeria ,-1.29283,-0.148681,-0.161993,-0.230576,-0.205784,-0.168969,-0.156762,-0.143082,-0.158648,-0.1635,-0.162867,-0.164425,-0.0973722,-0.160749
 Algeria ,-1.22572,-0.134624,-0.146621,-0.228715,-0.195689,-0.165555,-0.15126,-0.13878,-0.156407,-0.154901,-0.15769,-0.158958,-0.141734,-0.154963
 Algeria ,-1.1586,-0.123082,-0.13339,-0.20802,-0.193786,-0.160288,-0.132943,-0.137984,-0.153406,-0.150192,-0.15133,-0.152023,-0.0445953,-0.148604
 Algeria ,-1.09149,-0.108843,-0.114641,-0.184145,-0.183027,-0.15698,-0.109394,-0.13524,-0.148799,-0.144846,-0.142322,-0.142831,0.0216509,-0.140193
 Algeria ,-1.02437,-0.098868,-0.107658,-0.179618,-0.178404,-0.155966,-0.108352,-0.133561,-0.149669,-0.142628,-0.140385,-0.140787,0.0203853,-0.138266
 Algeria ,-0.957254,-0.105341,-0.0945507,-0.187318,-0.181586,-0.154344,-0.110865,-0.132414,-0.149519,-0.139754,-0.139565,-0.139943,-0.00251793,-0.137289
 Algeria ,-0.890138,-0.10633,-0.0815417,-0.189258,-0.184517,-0.150932,-0.106711,-0.12958,-0.145428,-0.137068,-0.13585,-0.136279,0.00310263,-0.133593
 Algeria ,-0.823022,-0.101279,-0.0654289,-0.189614,-0.18583,-0.143259,-0.0995358,-0.128983,-0.141759,-0.130051,-0.131815,-0.132089,0.00828179,-0.128794
 Algeria ,-0.755907,-0.0732181,-0.0533238,-0.18923,-0.188754,-0.140311,-0.0951483,-0.126518,-0.139552,-0.123007,-0.126707,-0.126972,0.0259151,-0.123908
 Algeria ,-0.688791,-0.0532293,-0.011988,-0.220138,-0.19444,-0.128952,-0.106914,-0.150513,-0.133845,-0.113239,-0.121719,-0.121836,-0.103936,-0.130418
 Algeria ,-0.621675,-0.0290348,-0.0248337,-0.213189,-0.208774,-0.131868,-0.104776,-0.121307,-0.134457,-0.116848,-0.120411,-0.120403,0.0087821,-0.118207
 Algeria ,-0.55456,-0.0289618,-0.0595837,-0.218979,-0.179826,-0.135995,-0.112741,-0.124476,-0.137464,-0.120025,-0.126484,-0.12617,-0.176116,-0.123824
 Algeria ,-0.487444,-0.023231,-0.0688078,-0.208577,-0.16605,-0.145129,-0.116531,-0.129672,-0.140596,-0.122391,-0.129671,-0.129533,-0.195878,-0.128876
 Algeria ,-0.420328,-0.0178129,-0.0729721,-0.184566,-0.168172,-0.138413,-0.0917008,-0.128229,-0.138123,-0.123051,-0.123567,-0.123026,-0.0600149,-0.122492
 Algeria ,-0.353213,-0.0748197,-0.115759,-0.190967,-0.194806,-0.149845,-0.108271,-0.138402,-0.146162,-0.136361,-0.138975,-0.13845,0.0492887,-0.137835
 Algeria ,-0.286097,-0.0459026,-0.107194,-0.197533,-0.192255,-0.148144,-0.111878,-0.133139,-0.142574,-0.133719,-0.136359,-0.13587,0.00159239,-0.133986
 Algeria ,-0.218981,-0.0525431,-0.0966371,-0.20545,-0.190413,-0.149307,-0.11653,-0.131585,-0.140761,-0.123948,-0.134187,-0.134101,-0.0493174,-0.132794
 Algeria ,-0.151866,-0.0891632,-0.114187,-0.211361,-0.187188,-0.154627,-0.127642,-0.136471,-0.147463,-0.130648,-0.142668,-0.142751,-0.0972252,-0.141188
 Algeria ,-0.0847501,-0.0899022,-0.120579,-0.203302,-0.182643,-0.157955,-0.124507,-0.137371,-0.14787,-0.133608,-0.143522,-0.143116,-0.0797521,-0.142196
 Algeria ,-0.0176345,-0.0660894,-0.121273,-0.185649,-0.193909,-0.15933,-0.110474,-0.136046,-0.141423,-0.134133,-0.138667,-0.138175,0.0720649,-0.137956
 Algeria ,0.0494812,-0.0878542,-0.116337,-0.184335,-0.197209,-0.159859,-0.106427,-0.137006,-0.136931,-0.132509,-0.137402,-0.136923,0.0965368,-0.137686
 Algeria ,0.116597,-0.0546823,-0.110393,-0.203755,-0.192406,-0.157369,-0.121158,-0.135472,-0.133223,-0.129123,-0.1372,-0.136912,-0.0298641,-0.137241
 Algeria ,0.183713,-0.0578834,-0.119298,-0.188989,-0.192904,-0.159067,-0.111055,-0.136458,-0.132472,-0.131325,-0.137011,-0.136453,0.0493713,-0.136753
 Algeria ,0.250828,-0.077989,-0.12319,-0.135597,-0.191327,-0.160392,-0.0737022,-0.137411,-0.131663,-0.134411,-0.130951,-0.130221,0.317802,-0.131608
 Algeria ,0.317944,-0.0595167,-0.117768,-0.152513,-0.187495,-0.159492,-0.0862524,-0.135737,-0.124438,-0.131425,-0.129823,-0.129825,0.209585,-0.131248
 Algeria ,0.385059,-0.0620501,-0.107902,-0.15213,-0.173632,-0.159373,-0.086803,-0.135248,-0.122325,-0.129479,-0.128649,-0.128035,0.137401,-0.130371
 Algeria ,0.452175,-0.0281445,-0.0970961,-0.118681,-0.164676,-0.157817,-0.0578593,-0.132857,-0.114525,-0.123629,-0.117804,-0.116817,0.262937,-0.120702
 Algeria ,0.519291,0.00650892,-0.0733524,-0.0716693,-0.133178,-0.154062,-0.015475,-0.129111,-0.092028,-0.113544,-0.101299,-0.0990744,0.338202,-0.105317
 Algeria ,0.586406,0.00357162,-0.0626732,0.0114547,-0.116788,-0.15271,0.0508283,-0.127399,-0.073636,-0.107983,-0.0844072,-0.0811297,0.681566,-0.0895101
 Algeria ,0.653522,0.0256372,-0.0325794,0.0595278,-0.112309,-0.150788,0.0898487,-0.123189,-0.0600381,-0.100846,-0.0699339,-0.0669101,0.906888,-0.0760818
 Algeria ,0.720638,0.0601218,0.0110793,0.0961787,-0.0684284,-0.147466,0.121846,-0.114033,-0.0424663,-0.082402,-0.0498166,-0.0486277,0.862179,-0.0588947
 Algeria ,0.787753,0.0860168,0.0691808,0.201987,0.017632,-0.142677,0.214147,-0.0980433,-0.0295046,-0.0585804,-0.0125995,-0.0120628,0.950425,-0.0267346
 Algeria ,0.854869,0.124609,0.0750975,0.010419,0.0189329,-0.142159,0.0493443,-0.0996239,-0.0398153,-0.0546401,-0.046799,-0.0465963,-0.0499381,-0.0567156
 Algeria ,0.921985,0.145143,0.120973,0.0872821,0.0262695,-0.140364,0.112742,-0.0886399,-0.0328225,-0.0446989,-0.0216523,-0.0222197,0.309394,-0.0354347
 Algeria ,0.9891,0.208942,0.146192,0.176521,0.0635222,-0.136927,0.191335,-0.062391,-0.00915095,-0.0246406,0.0155648,0.0173922,0.572846,-0.00134859
 Algeria ,1.05622,0.261336,0.164042,0.173901,0.0759144,-0.135693,0.19083,-0.0593086,-0.00171346,-0.0134017,0.0246176,0.0265334,0.492956,0.00468423
 Algeria ,1.12333,0.319026,0.195583,0.131221,0.0989457,-0.134293,0.1492,-0.0627481,0.0311981,0.00447997,0.0236117,0.0275491,0.148416,0.0039744
 Algeria ,1.19045,0.351998,0.229674,0.102356,0.123858,-0.131021,0.129987,-0.0581598,0.0399956,0.0208985,0.0266293,0.0316118,-0.134558,0.00824545
 Algeria ,1.25756,0.283208,0.169459,-0.047184,0.0815077,-0.13685,-0.00333777,-0.0729374,0.0105788,-0.00390965,-0.0206465,-0.0171413,-0.683433,-0.0342584
